"","Industry","Month","Seasonally Adjusted","Non-Seasonally Adjusted","diff"
"782","Professional and Business Services",2015-11-01,92441.7393709411,93500,1058.2606290589
"783","Professional and Business Services",2015-10-01,92135.0413655184,93000,864.958634481605
"784","Professional and Business Services",2015-09-01,91495.1948808681,91000,-495.194880868105
"785","Professional and Business Services",2015-08-01,91422.2418265829,91000,-422.241826582904
"786","Professional and Business Services",2015-07-01,91305.3388382478,91000,-305.338838247801
"787","Professional and Business Services",2015-06-01,91390.5279369908,91400,9.47206300920516
"788","Professional and Business Services",2015-05-01,90467.0185357166,90400,-67.0185357166047
"789","Professional and Business Services",2015-04-01,90350.7184660457,90200,-150.718466045699
"790","Professional and Business Services",2015-03-01,90020.5887660992,89500,-520.588766099201
"791","Professional and Business Services",2015-02-01,89706.8461047429,89500,-206.846104742901
"792","Professional and Business Services",2015-01-01,89739.3835059977,89200,-539.383505997699
"793","Retail Trade",2023-03-01,48129.4561979618,47700,-429.456197961801
"794","Retail Trade",2023-02-01,47491.0528974218,47000,-491.052897421803
"795","Retail Trade",2023-01-01,47701.3129282785,47800,98.6870717214988
"796","Retail Trade",2022-12-01,47511.8967749534,49500,1988.1032250466
"797","Retail Trade",2022-11-01,47536.8089305655,49100,1563.1910694345
"798","Retail Trade",2022-10-01,47504.1176697582,47800,295.882330241802
"799","Retail Trade",2022-09-01,47350.2936257633,46700,-650.293625763297
"800","Retail Trade",2022-08-01,47557.6924246241,47100,-457.692424624103
"801","Retail Trade",2022-07-01,47697.2000649288,47100,-597.200064928802
"802","Retail Trade",2022-06-01,47858.8663110052,47400,-458.8663110052
"803","Retail Trade",2022-05-01,47927.144324324,47500,-427.144324323999
"804","Retail Trade",2022-04-01,48222.7694927635,47700,-522.769492763502
"805","Retail Trade",2022-03-01,48461.359771106,48000,-461.359771105999
"806","Retail Trade",2022-02-01,48751.4173400381,48300,-451.417340038097
"807","Retail Trade",2022-01-01,48279.7285519604,48400,120.271448039603
"808","Retail Trade",2021-12-01,48279.5705903707,50300,2020.4294096293
"809","Retail Trade",2021-11-01,47695.5341181711,49300,1604.4658818289
"810","Retail Trade",2021-10-01,47565.0149550328,47900,334.985044967201
"811","Retail Trade",2021-09-01,47080.9617799026,46500,-580.961779902602
"812","Retail Trade",2021-08-01,46818.8078553066,46400,-418.807855306601
"813","Retail Trade",2021-07-01,46582.0474471457,46000,-582.047447145698
"814","Retail Trade",2021-06-01,46163.1985118585,45700,-463.1985118585
"815","Retail Trade",2021-05-01,45843.9005645243,45400,-443.900564524301
"816","Retail Trade",2021-04-01,45587.0920777696,45000,-587.092077769601
"817","Retail Trade",2021-03-01,45371.1296285574,44800,-571.129628557399
"818","Retail Trade",2021-02-01,45002.9043145926,44500,-502.904314592597
"819","Retail Trade",2021-01-01,44934.6690895927,45000,65.3309104072978
"820","Retail Trade",2020-12-01,43994.6258594402,46000,2005.3741405598
"821","Retail Trade",2020-11-01,43963.043040681,45600,1636.956959319
"822","Retail Trade",2020-10-01,44454.2118780633,44800,345.788121936697
"823","Retail Trade",2020-09-01,43993.3167570748,43500,-493.316757074797
"824","Retail Trade",2020-08-01,43559.0554645031,43200,-359.055464503101
"825","Retail Trade",2020-07-01,43247.2098777244,42700,-547.209877724403
"826","Retail Trade",2020-06-01,41640.1370810511,41200,-440.1370810511
"827","Retail Trade",2020-05-01,37534.9325881786,37100,-434.932588178599
"828","Retail Trade",2020-04-01,36925.3539829191,36300,-625.3539829191
"829","Retail Trade",2020-03-01,48370.3497841715,47700,-670.3497841715
"830","Retail Trade",2020-02-01,48975.4479896146,48400,-575.4479896146
"831","Retail Trade",2020-01-01,48801.6293778627,48800,-1.62937786270049
"832","Retail Trade",2019-12-01,49069.5576698427,51100,2030.4423301573
"833","Retail Trade",2019-11-01,49210.1885664453,50900,1689.8114335547
"834","Retail Trade",2019-10-01,48801.8443108643,49100,298.155689135703
"835","Retail Trade",2019-09-01,48940.2300971171,48500,-440.230097117099
"836","Retail Trade",2019-08-01,49105.9559774614,48800,-305.955977461403
"837","Retail Trade",2019-07-01,48892.9218192532,48400,-492.921819253199
"838","Retail Trade",2019-06-01,49005.6830849785,48600,-405.683084978496
"839","Retail Trade",2019-05-01,49011.7819052458,48600,-411.7819052458
"840","Retail Trade",2019-04-01,49195.5892916315,48600,-595.589291631499
"841","Retail Trade",2019-03-01,49102.2978292836,48400,-702.297829283598
"842","Retail Trade",2019-02-01,49047.3530757067,48400,-647.353075706698
"843","Retail Trade",2019-01-01,49282.2170377095,49200,-82.2170377095026
"844","Retail Trade",2018-12-01,49367.2510611942,51400,2032.7489388058
"845","Retail Trade",2018-11-01,49297.4753629365,51000,1702.5246370635
"846","Retail Trade",2018-10-01,49159.1830543595,49400,240.816945640501
"847","Retail Trade",2018-09-01,49403.3775546046,49000,-403.377554604602
"848","Retail Trade",2018-08-01,49268.0168642783,49000,-268.016864278303
"849","Retail Trade",2018-07-01,49740.4087816448,49300,-440.408781644801
"850","Retail Trade",2018-06-01,49466.1951964367,49100,-366.195196436704
"851","Retail Trade",2018-05-01,49592.1663738739,49200,-392.166373873901
"852","Retail Trade",2018-04-01,49564.6324333898,49000,-564.632433389801
"853","Retail Trade",2018-03-01,49513.827937317,48800,-713.827937317001
"854","Retail Trade",2018-02-01,49613.0342164634,48900,-713.034216463398
"855","Retail Trade",2018-01-01,49461.0048906823,49300,-161.004890682299
"856","Retail Trade",2017-12-01,49583.6319853919,51600,2016.3680146081
"857","Retail Trade",2017-11-01,49491.4133871132,51200,1708.5866128868
"858","Retail Trade",2017-10-01,49282.7881757021,49500,217.211824297898
"859","Retail Trade",2017-09-01,49363.6856365841,49000,-363.685636584101
"860","Retail Trade",2017-08-01,49115.5190342548,48900,-215.519034254801
"861","Retail Trade",2017-07-01,49008.0450675645,48600,-408.045067564497
"862","Retail Trade",2017-06-01,49128.8385392523,48800,-328.838539252298
"863","Retail Trade",2017-05-01,49283.7910207657,48900,-383.791020765697
"864","Retail Trade",2017-04-01,49453.9004976441,48900,-553.900497644099
"865","Retail Trade",2017-03-01,49228.3877126015,48500,-728.3877126015
"866","Retail Trade",2017-02-01,49292.5253883187,48500,-792.525388318703
"867","Retail Trade",2017-01-01,49245.2781956484,49000,-245.278195648403
"868","Retail Trade",2016-12-01,49323.8404803313,51300,1976.1595196687
"869","Retail Trade",2016-11-01,49192.1535610161,50900,1707.8464389839
"870","Retail Trade",2016-10-01,49393.0415600946,49600,206.9584399054
"871","Retail Trade",2016-09-01,49423.2540545996,49100,-323.254054599602
"872","Retail Trade",2016-08-01,49734.604097703,49600,-134.604097702999
"873","Retail Trade",2016-07-01,49855.5930703194,49500,-355.593070319403
"874","Retail Trade",2016-06-01,49565.7649064771,49300,-265.764906477103
"875","Retail Trade",2016-05-01,49478.1625391914,49100,-378.162539191399
"876","Retail Trade",2016-04-01,49462.5096238922,48900,-562.509623892198
"877","Retail Trade",2016-03-01,49540.2213775152,48800,-740.221377515198
"878","Retail Trade",2016-02-01,49267.622909875,48400,-867.622909874997
"879","Retail Trade",2016-01-01,49108.6463480629,48800,-308.646348062903
"880","Retail Trade",2015-12-01,49358.3547247688,51300,1941.6452752312
"881","Retail Trade",2015-11-01,49782.4144652473,51500,1717.5855347527
"882","Retail Trade",2015-10-01,49697.3908583301,49900,202.609141669898
"883","Retail Trade",2015-09-01,49999.2927307333,49700,-299.292730733301
"884","Retail Trade",2015-08-01,50099.8390365685,50000,-99.8390365684972
"885","Retail Trade",2015-07-01,49949.4018885844,49600,-349.401888584398
"886","Retail Trade",2015-06-01,50328.0926436856,50100,-228.092643685603
"887","Retail Trade",2015-05-01,50173.841237092,49800,-373.841237091998
"888","Retail Trade",2015-04-01,50171.9866480888,49600,-571.986648088801
"889","Retail Trade",2015-03-01,50246.3872251194,49500,-746.387225119397
"890","Retail Trade",2015-02-01,50196.7566847461,49300,-896.756684746098
"891","Retail Trade",2015-01-01,50506.5844942683,50200,-306.584494268303
"892","Transportation and Utilities",2023-03-01,27542.0702142048,27400,-142.070214204799
"893","Transportation and Utilities",2023-02-01,27567.6546418905,27500,-67.6546418905018
"894","Transportation and Utilities",2023-01-01,27819.5066712128,28200,380.493328787201
"895","Transportation and Utilities",2022-12-01,27862.4158156853,29400,1537.5841843147
"896","Transportation and Utilities",2022-11-01,27742.0044524491,28800,1057.9955475509
"897","Transportation and Utilities",2022-10-01,27534.2235763828,27800,265.776423617201
"898","Transportation and Utilities",2022-09-01,27359.8130732683,27000,-359.813073268298
"899","Transportation and Utilities",2022-08-01,27566.0690781579,26700,-866.0690781579
"900","Transportation and Utilities",2022-07-01,27857.1534453623,27200,-657.153445362299
"901","Transportation and Utilities",2022-06-01,27553.6088182251,27200,-353.608818225101
"902","Transportation and Utilities",2022-05-01,27900.1804446662,27500,-400.180444666199
"903","Transportation and Utilities",2022-04-01,27870.2443517445,27400,-470.244351744499
"904","Transportation and Utilities",2022-03-01,27922.8576304548,27800,-122.857630454801
"905","Transportation and Utilities",2022-02-01,27861.070046308,27800,-61.0700463079993
"906","Transportation and Utilities",2022-01-01,27470.4541042533,27800,329.545895746702
"907","Transportation and Utilities",2021-12-01,27452.0073099451,28900,1447.9926900549
"908","Transportation and Utilities",2021-11-01,27481.8127818432,28500,1018.1872181568
"909","Transportation and Utilities",2021-10-01,27281.760985504,27600,318.239014496001
"910","Transportation and Utilities",2021-09-01,27466.5316415167,27200,-266.5316415167
"911","Transportation and Utilities",2021-08-01,27535.2239342991,26700,-835.223934299102
"912","Transportation and Utilities",2021-07-01,27272.4940898848,26600,-672.4940898848
"913","Transportation and Utilities",2021-06-01,27415.7017584858,27100,-315.7017584858
"914","Transportation and Utilities",2021-05-01,27228.0829910358,26800,-428.082991035801
"915","Transportation and Utilities",2021-04-01,27401.8274461664,26900,-501.8274461664
"916","Transportation and Utilities",2021-03-01,27789.3642711177,27600,-189.364271117702
"917","Transportation and Utilities",2021-02-01,28030.658030169,27900,-130.658030169001
"918","Transportation and Utilities",2021-01-01,28116.7323246993,28400,283.2676753007
"919","Transportation and Utilities",2020-12-01,28833.3203231483,30300,1466.6796768517
"920","Transportation and Utilities",2020-11-01,27679.4458789923,28700,1020.5541210077
"921","Transportation and Utilities",2020-10-01,27553.172121473,28000,446.827878527001
"922","Transportation and Utilities",2020-09-01,27111.1730117971,27000,-111.173011797098
"923","Transportation and Utilities",2020-08-01,26848.113903276,26100,-748.113903276
"924","Transportation and Utilities",2020-07-01,26605.2247271273,26000,-605.224727127301
"925","Transportation and Utilities",2020-06-01,26597.6925542866,26400,-197.692554286601
"926","Transportation and Utilities",2020-05-01,26040.3635782444,25700,-340.3635782444
"927","Transportation and Utilities",2020-04-01,25848.4202994079,25400,-448.420299407899
"928","Transportation and Utilities",2020-03-01,31352.8838325594,31000,-352.883832559401
"929","Transportation and Utilities",2020-02-01,30748.8213771762,30400,-348.821377176198
"930","Transportation and Utilities",2020-01-01,30496.9387672771,30600,103.061232722899
"931","Transportation and Utilities",2019-12-01,30644.93834834,32000,1355.06165166
"932","Transportation and Utilities",2019-11-01,30391.2001450838,31400,1008.7998549162
"933","Transportation and Utilities",2019-10-01,30359.8097838027,30900,540.190216197301
"934","Transportation and Utilities",2019-09-01,29964.9267300279,30000,35.0732699721011
"935","Transportation and Utilities",2019-08-01,29955.9856554846,29200,-755.985655484601
"936","Transportation and Utilities",2019-07-01,29897.956449552,29300,-597.956449551999
"937","Transportation and Utilities",2019-06-01,29508.777970641,29400,-108.777970641
"938","Transportation and Utilities",2019-05-01,29642.7274838228,29400,-242.7274838228
"939","Transportation and Utilities",2019-04-01,29427.3386799006,29000,-427.3386799006
"940","Transportation and Utilities",2019-03-01,28597.4845186782,28200,-397.4845186782
"941","Transportation and Utilities",2019-02-01,28512.7972619439,28100,-412.797261943899
"942","Transportation and Utilities",2019-01-01,28623.0019449527,28600,-23.001944952699
"943","Transportation and Utilities",2018-12-01,27911.5412687588,29000,1088.4587312412
"944","Transportation and Utilities",2018-11-01,28170.6535604246,29000,829.346439575402
"945","Transportation and Utilities",2018-10-01,27993.5736342911,28500,506.4263657089
"946","Transportation and Utilities",2018-09-01,27915.5151111618,28100,184.4848888382
"947","Transportation and Utilities",2018-08-01,27652.2928105382,27000,-652.292810538202
"948","Transportation and Utilities",2018-07-01,27529.0680672538,27000,-529.0680672538
"949","Transportation and Utilities",2018-06-01,27447.8701218628,27400,-47.8701218628012
"950","Transportation and Utilities",2018-05-01,27167.3798769942,27000,-167.3798769942
"951","Transportation and Utilities",2018-04-01,27088.4984482683,26700,-388.498448268299
"952","Transportation and Utilities",2018-03-01,26994.030789008,26600,-394.030789008
"953","Transportation and Utilities",2018-02-01,26915.1285147376,26500,-415.1285147376
"954","Transportation and Utilities",2018-01-01,26820.6189316217,26700,-120.618931621699
"955","Transportation and Utilities",2017-12-01,27010.5911343071,28000,989.408865692902
"956","Transportation and Utilities",2017-11-01,27001.8092646103,27700,698.1907353897
"957","Transportation and Utilities",2017-10-01,27129.9365404467,27600,470.063459553301
"958","Transportation and Utilities",2017-09-01,27309.3107787902,27600,290.689221209799
"959","Transportation and Utilities",2017-08-01,27215.1873165561,26600,-615.187316556101
"960","Transportation and Utilities",2017-07-01,27120.8605794933,26600,-520.860579493299
"961","Transportation and Utilities",2017-06-01,27100.2726776147,27100,-0.272677614699205
"962","Transportation and Utilities",2017-05-01,27208.0010111916,27100,-108.001011191602
"963","Transportation and Utilities",2017-04-01,26951.7427775691,26600,-351.742777569099
"964","Transportation and Utilities",2017-03-01,27372.6381704137,27000,-372.638170413698
"965","Transportation and Utilities",2017-02-01,27289.7099873017,26900,-389.7099873017
"966","Transportation and Utilities",2017-01-01,27274.8766645267,27100,-174.876664526699
"967","Transportation and Utilities",2016-12-01,27531.3886038189,28500,968.611396181099
"968","Transportation and Utilities",2016-11-01,27291.1117048226,27900,608.888295177399
"969","Transportation and Utilities",2016-10-01,27273.0442297741,27700,426.955770225901
"970","Transportation and Utilities",2016-09-01,27481.5716941922,27800,318.4283058078
"971","Transportation and Utilities",2016-08-01,27326.9064141119,26700,-626.906414111902
"972","Transportation and Utilities",2016-07-01,27330.6457190705,26800,-530.6457190705
"973","Transportation and Utilities",2016-06-01,27351.0146955231,27400,48.9853044769006
"974","Transportation and Utilities",2016-05-01,27342.3173191075,27300,-42.3173191075002
"975","Transportation and Utilities",2016-04-01,27262.9419707665,27000,-262.9419707665
"976","Transportation and Utilities",2016-03-01,27047.4384895791,26700,-347.438489579101
"977","Transportation and Utilities",2016-02-01,27159.6368146413,26800,-359.636814641301
"978","Transportation and Utilities",2016-01-01,27011.1084047438,26800,-211.108404743802
"979","Transportation and Utilities",2015-12-01,26732.2219285785,27600,867.7780714215
"980","Transportation and Utilities",2015-11-01,26678.6937752451,27200,521.306224754899
"981","Transportation and Utilities",2015-10-01,26712.3580172322,27100,387.6419827678
"982","Transportation and Utilities",2015-09-01,26603.7551281555,26900,296.244871844501
"983","Transportation and Utilities",2015-08-01,26522.9483883316,25900,-622.948388331599
"984","Transportation and Utilities",2015-07-01,26420.5965804739,25900,-520.596580473899
"985","Transportation and Utilities",2015-06-01,26425.0823117194,26500,74.9176882805987
"986","Transportation and Utilities",2015-05-01,26309.3113509509,26300,-9.31135095089849
"987","Transportation and Utilities",2015-04-01,26375.9251502198,26200,-175.925150219799
"988","Transportation and Utilities",2015-03-01,26113.5585538833,25800,-313.5585538833
"989","Transportation and Utilities",2015-02-01,25935.7843360626,25600,-335.784336062599
"990","Transportation and Utilities",2015-01-01,25729.9560765711,25500,-229.956076571099
"991","Wholesale Trade",2023-03-01,15064.8675790931,15000,-64.8675790930993
"992","Wholesale Trade",2023-02-01,15093.1247755197,15100,6.87522448029995
"993","Wholesale Trade",2023-01-01,15033.201903182,15000,-33.201903182
"994","Wholesale Trade",2022-12-01,15022.6128903817,15100,77.3871096182993
"995","Wholesale Trade",2022-11-01,15011.7362332299,15100,88.2637667701001
"996","Wholesale Trade",2022-10-01,14916.8560260037,14900,-16.8560260036993
"997","Wholesale Trade",2022-09-01,14890.8493844554,14900,9.15061554460044
"998","Wholesale Trade",2022-08-01,14905.81954709,15100,194.180452910001
"999","Wholesale Trade",2022-07-01,14806.0977387864,14900,93.9022612135996
"1000","Wholesale Trade",2022-06-01,14719.1071920919,14700,-19.1071920919003
"1001","Wholesale Trade",2022-05-01,14665.9434664961,14600,-65.9434664961009
"1002","Wholesale Trade",2022-04-01,14584.7619898901,14500,-84.7619898900994
"1003","Wholesale Trade",2022-03-01,14534.1263715643,14500,-34.1263715642999
"1004","Wholesale Trade",2022-02-01,14433.5576272782,14400,-33.5576272782
"1005","Wholesale Trade",2022-01-01,14365.0260329051,14300,-65.0260329050998
"1006","Wholesale Trade",2021-12-01,14341.9495423584,14400,58.0504576416006
"1007","Wholesale Trade",2021-11-01,14235.8507486681,14300,64.1492513319008
"1008","Wholesale Trade",2021-10-01,14207.0561993737,14200,-7.0561993736992
"1009","Wholesale Trade",2021-09-01,14166.876271036,14100,-66.8762710360006
"1010","Wholesale Trade",2021-08-01,14136.9807700588,14200,63.0192299411992
"1011","Wholesale Trade",2021-07-01,14103.4006044118,14100,-3.40060441179958
"1012","Wholesale Trade",2021-06-01,14078.1925012712,14000,-78.1925012711999
"1013","Wholesale Trade",2021-05-01,14031.7089611088,13900,-131.708961108799
"1014","Wholesale Trade",2021-04-01,14009.0660994715,13900,-109.0660994715
"1015","Wholesale Trade",2021-03-01,14012.044798612,14000,-12.0447986119998
"1016","Wholesale Trade",2021-02-01,13990.8743111308,14000,9.12568886920053
"1017","Wholesale Trade",2021-01-01,13977.0996210001,14000,22.9003789999006
"1018","Wholesale Trade",2020-12-01,13938.7503296342,14100,161.2496703658
"1019","Wholesale Trade",2020-11-01,13971.2906255051,14200,228.7093744949
"1020","Wholesale Trade",2020-10-01,13929.7039537887,14100,170.296046211301
"1021","Wholesale Trade",2020-09-01,13812.9052275967,13800,-12.9052275967006
"1022","Wholesale Trade",2020-08-01,13770.5547421149,13800,29.4452578850996
"1023","Wholesale Trade",2020-07-01,13732.8225538816,13700,-32.8225538816005
"1024","Wholesale Trade",2020-06-01,13706.8875335696,13600,-106.887533569599
"1025","Wholesale Trade",2020-05-01,13166.5257499847,13000,-166.525749984699
"1026","Wholesale Trade",2020-04-01,12516.7775409946,12400,-116.777540994601
"1027","Wholesale Trade",2020-03-01,14575.1737493375,14500,-75.1737493375003
"1028","Wholesale Trade",2020-02-01,14557.4825865767,14500,-57.4825865766998
"1029","Wholesale Trade",2020-01-01,14562.899270513,14500,-62.8992705130004
"1030","Wholesale Trade",2019-12-01,14921.1347026606,15000,78.8652973394001
"1031","Wholesale Trade",2019-11-01,14937.0109438251,15000,62.9890561748998
"1032","Wholesale Trade",2019-10-01,14936.7725139793,15000,63.2274860206999
"1033","Wholesale Trade",2019-09-01,14966.4931260626,15000,33.5068739374001
"1034","Wholesale Trade",2019-08-01,15037.1655537184,15200,162.8344462816
"1035","Wholesale Trade",2019-07-01,15081.8134063521,15200,118.186593647901
"1036","Wholesale Trade",2019-06-01,15082.1715574606,15100,17.8284425393995
"1037","Wholesale Trade",2019-05-01,15096.1132701747,15000,-96.1132701746992
"1038","Wholesale Trade",2019-04-01,15173.8626932265,15100,-73.8626932264997
"1039","Wholesale Trade",2019-03-01,15245.994188666,15100,-145.994188666
"1040","Wholesale Trade",2019-02-01,15330.9429191606,15200,-130.9429191606
"1041","Wholesale Trade",2019-01-01,15363.1655841621,15200,-163.1655841621
"1042","Wholesale Trade",2018-12-01,15495.0568585475,15500,4.94314145250064
"1043","Wholesale Trade",2018-11-01,15499.4242109605,15400,-99.4242109605002
"1044","Wholesale Trade",2018-10-01,15610.66983026,15600,-10.6698302599998
"1045","Wholesale Trade",2018-09-01,15724.2999924536,15800,75.7000075464002
"1046","Wholesale Trade",2018-08-01,15795.249346988,16000,204.750653012001
"1047","Wholesale Trade",2018-07-01,15820.5501735833,16000,179.4498264167
"1048","Wholesale Trade",2018-06-01,15922.2099587044,16100,177.790041295602
"1049","Wholesale Trade",2018-05-01,15985.6021095257,16100,114.397890474302
"1050","Wholesale Trade",2018-04-01,16030.2939817547,16100,69.7060182453024
"1051","Wholesale Trade",2018-03-01,15931.5702604104,15800,-131.570260410401
"1052","Wholesale Trade",2018-02-01,15976.1152832143,15800,-176.1152832143
"1053","Wholesale Trade",2018-01-01,15965.1256806504,15800,-165.125680650401
"1054","Wholesale Trade",2017-12-01,15998.7295879181,16000,1.27041208189985
"1055","Wholesale Trade",2017-11-01,15966.9605644305,15900,-66.9605644304993
"1056","Wholesale Trade",2017-10-01,15982.4124117105,16000,17.5875882894998
"1057","Wholesale Trade",2017-09-01,15958.7862310507,16000,41.2137689492993
"1058","Wholesale Trade",2017-08-01,15949.9139063092,16100,150.086093690801
"1059","Wholesale Trade",2017-07-01,15934.8656038792,16100,165.134396120802
"1060","Wholesale Trade",2017-06-01,15886.733615038,16000,113.266384962
"1061","Wholesale Trade",2017-05-01,15810.279052991,15800,-10.2790529909998
"1062","Wholesale Trade",2017-04-01,15779.0697941084,15700,-79.0697941083999
"1063","Wholesale Trade",2017-03-01,15819.0209693501,15700,-119.0209693501
"1064","Wholesale Trade",2017-02-01,15782.9128731395,15600,-182.912873139499
"1065","Wholesale Trade",2017-01-01,15803.1180711218,15700,-103.1180711218
"1066","Wholesale Trade",2016-12-01,15782.683829249,15800,17.3161707510008
"1067","Wholesale Trade",2016-11-01,15799.9740743995,15800,0.0259256004992494
"1068","Wholesale Trade",2016-10-01,15768.9922174513,15800,31.0077825487006
"1069","Wholesale Trade",2016-09-01,15746.559545437,15700,-46.5595454369995
"1070","Wholesale Trade",2016-08-01,15749.5173614187,15800,50.4826385812994
"1071","Wholesale Trade",2016-07-01,15795.6820050499,15900,104.317994950099
"1072","Wholesale Trade",2016-06-01,15803.6817762729,15900,96.3182237270994
"1073","Wholesale Trade",2016-05-01,15843.8732525611,15900,56.1267474389006
"1074","Wholesale Trade",2016-04-01,15822.144703617,15800,-22.1447036169993
"1075","Wholesale Trade",2016-03-01,15836.095776136,15800,-36.0957761360005
"1076","Wholesale Trade",2016-02-01,15760.8722032307,15600,-160.8722032307
"1077","Wholesale Trade",2016-01-01,15789.9483715009,15700,-89.9483715008992
"1078","Wholesale Trade",2015-12-01,15794.7498185763,15800,5.25018142370027
"1079","Wholesale Trade",2015-11-01,15773.676061185,15800,26.3239388149996
"1080","Wholesale Trade",2015-10-01,15799.6626404649,15900,100.3373595351
"1081","Wholesale Trade",2015-09-01,15755.7647912478,15800,44.2352087521995
"1082","Wholesale Trade",2015-08-01,15773.0357087773,15900,126.964291222699
"1083","Wholesale Trade",2015-07-01,15710.2550131431,15800,89.7449868569001
"1084","Wholesale Trade",2015-06-01,15676.1945962041,15700,23.8054037958991
"1085","Wholesale Trade",2015-05-01,15634.9992562797,15600,-34.9992562796997
"1086","Wholesale Trade",2015-04-01,15605.0316017927,15500,-105.0316017927
"1087","Wholesale Trade",2015-03-01,15584.2519352214,15500,-84.2519352214003
"1088","Wholesale Trade",2015-02-01,15600.2329620142,15500,-100.232962014201
"1089","Wholesale Trade",2015-01-01,15562.9817595846,15500,-62.9817595845998
